gpu_id,l1_cache_used,max_clock_rate,num_of_cores,threads_launched,Instructions.Executed,Instructions.Issued,Executed.IPC,Achieved.Occupancy,Global.Hit.Rate,Shared.Load.Transactions,Shared.Store.Transactions,Global.Load.Transactions,Global.Store.Transactions,Duration
8,0,1076,3072,1638400,1689600,1694981,0.884624,0.788218,50,0,0,819200,204800,0.000075233
8,0,1076,3072,1048576,1081344,1086805,0.884862,0.787989,50,0,0,524288,131072,0.000048641
8,0,1076,3072,589824,608256,613688,0.947867,0.796268,50,0,0,294912,73728,0.000027616
8,0,1076,3072,65536,67584,72561,1.384975,0.771182,50,0,0,32768,8192,0.000004833
8,0,1076,3072,65536,67584,72699,1.500699,0.670522,50,0,0,32768,8192,0.00000496
8,0,1076,3072,16777216,17301504,17306956,0.864887,0.802095,50,0,0,8388608,2097152,0.000753447
8,0,1076,3072,62980096,64948224,64953305,0.855401,0.858231,50,0,0,31490048,7872512,0.003568709
8,0,1076,3072,55115776,56838144,56841216,0.715023,0.871483,50,0,0,27557888,13778944,0.003185442
8,0,1076,3072,51380224,52985856,52987715,0.801331,0.870937,50,0,0,25690112,12845056,0.002926691
8,0,1076,3072,47775744,49268736,49271797,0.804544,0.86285,50,0,0,23887872,11943936,0.002699586
8,0,1076,3072,44302336,45686784,45689838,0.72662,0.863236,50,0,0,22151168,11075584,0.002519812
8,0,1076,3072,40960000,42240000,42241786,0.794513,0.864043,50,0,0,20480000,10240000,0.002349318
